Date,Open,High,Low,Close,Adj Close,Volume
2014-12-22,59450.000000,59925.000000,58025.000000,59600.000000,47485.859375,867800
2014-12-29,59900.000000,62000.000000,59350.000000,61800.000000,49238.691406,1495900
2015-01-05,61000.000000,64000.000000,60000.000000,60000.000000,47804.550781,3318000
2015-01-12,60000.000000,60875.000000,59075.000000,59925.000000,47744.800781,3060900
2015-01-19,59700.000000,60400.000000,51900.000000,58450.000000,46569.601563,11447900
2015-01-26,58000.000000,59600.000000,55650.000000,57800.000000,46051.718750,5463900
2015-02-02,57325.000000,58500.000000,55150.000000,58500.000000,46609.441406,4534800
2015-02-09,58500.000000,58500.000000,54700.000000,55400.000000,44139.539063,3991500
2015-02-16,55700.000000,56600.000000,54850.000000,55000.000000,43820.847656,2708600
2015-02-23,55100.000000,55525.000000,53400.000000,53425.000000,42565.976563,5078300
2015-03-02,53100.000000,55325.000000,53100.000000,54300.000000,43263.121094,3841000
2015-03-09,54200.000000,54600.000000,52800.000000,52800.000000,42068.015625,5907300
2015-03-16,52900.000000,53100.000000,51525.000000,51950.000000,41390.777344,3698700
2015-03-23,52400.000000,52400.000000,47525.000000,49750.000000,39637.941406,5904300
2015-03-30,49750.000000,52350.000000,49500.000000,52000.000000,41430.617188,5569500
2015-04-06,52250.000000,54650.000000,51500.000000,53500.000000,42625.726563,4805100
2015-04-13,52100.000000,53500.000000,49025.000000,50500.000000,40235.500000,5602300
2015-04-20,50500.000000,54550.000000,50000.000000,54500.000000,43422.464844,6370900
2015-04-27,54500.000000,54500.000000,49300.000000,50000.000000,39837.128906,8422900
2015-05-04,50450.000000,50600.000000,45800.000000,46200.000000,36809.507813,9614900
2015-05-11,46900.000000,47675.000000,45650.000000,46500.000000,37048.535156,5732400
2015-05-18,46500.000000,47800.000000,44750.000000,47075.000000,37506.660156,9897600
2015-05-25,46800.000000,47725.000000,45800.000000,47100.000000,37526.574219,6634600
2015-06-01,47050.000000,47500.000000,45000.000000,45200.000000,36012.761719,3769600
2015-06-08,45400.000000,45625.000000,42000.000000,44000.000000,35056.671875,4541400
2015-06-15,43800.000000,46500.000000,43200.000000,46200.000000,36809.507813,2981500
2015-06-22,45650.000000,46150.000000,43700.000000,44200.000000,35216.019531,2055200
2015-06-29,44225.000000,47625.000000,43800.000000,47475.000000,37825.355469,4470300
2015-07-06,47000.000000,47100.000000,45050.000000,46000.000000,36650.160156,2979700
2015-07-13,46000.000000,49700.000000,46000.000000,49550.000000,40155.250000,2925900
2015-07-20,49550.000000,54150.000000,48550.000000,51000.000000,41330.328125,4587400
2015-07-27,50300.000000,51850.000000,47000.000000,49500.000000,40114.730469,5165200
2015-08-03,49000.000000,49875.000000,46925.000000,47100.000000,38169.773438,2883800
2015-08-10,47125.000000,48250.000000,45000.000000,46500.000000,37683.539063,2852000
2015-08-17,46500.000000,47650.000000,45000.000000,45000.000000,36467.941406,2282000
2015-08-24,44025.000000,46000.000000,41000.000000,42000.000000,34036.738281,4983300
2015-08-31,42500.000000,44500.000000,42000.000000,42600.000000,34522.980469,3313700
2015-09-07,42500.000000,42750.000000,41300.000000,41750.000000,33834.144531,2653600
2015-09-14,41925.000000,42825.000000,40550.000000,42825.000000,34705.316406,2785000
2015-09-21,42500.000000,43500.000000,41050.000000,41775.000000,33854.394531,1297500
2015-09-28,43000.000000,44800.000000,39500.000000,44450.000000,36022.218750,3974600
2015-10-05,45000.000000,47800.000000,42400.000000,43425.000000,35191.554688,8228000
2015-10-12,43425.000000,44575.000000,42500.000000,42800.000000,34685.058594,4009200
2015-10-19,42800.000000,46250.000000,42700.000000,46200.000000,37440.417969,8017500
2015-10-26,46500.000000,46850.000000,42300.000000,42950.000000,34806.621094,9490100
2015-11-02,42925.000000,48450.000000,42925.000000,48100.000000,38980.175781,9092300
2015-11-09,48225.000000,49400.000000,46250.000000,47500.000000,38493.933594,5855000
2015-11-16,47500.000000,52650.000000,46700.000000,51250.000000,41532.925781,6212200
2015-11-23,50500.000000,51600.000000,48975.000000,50000.000000,40519.929688,3720300
2015-11-30,50000.000000,52300.000000,48900.000000,51300.000000,41573.449219,7450200
2015-12-07,51500.000000,52275.000000,50200.000000,50800.000000,41168.246094,3209700
2015-12-14,49850.000000,52500.000000,48275.000000,51800.000000,41978.644531,5297300
2015-12-21,51050.000000,54150.000000,51050.000000,54150.000000,43883.085938,2442400
2015-12-28,53800.000000,55000.000000,53500.000000,55000.000000,44571.925781,1775800
2016-01-04,54600.000000,55475.000000,52550.000000,55100.000000,44652.960938,6351200
2016-01-11,54850.000000,57000.000000,54050.000000,56300.000000,45625.441406,6002500
2016-01-18,55000.000000,55800.000000,54600.000000,55250.000000,44774.523438,4425400
2016-01-25,55750.000000,59000.000000,54500.000000,58350.000000,47286.757813,6795200
2016-02-01,58350.000000,61000.000000,56300.000000,60200.000000,48785.996094,6848700
2016-02-08,60200.000000,61650.000000,58900.000000,60700.000000,49191.195313,4155400
2016-02-15,61500.000000,64800.000000,60950.000000,64125.000000,51966.808594,6077200
2016-02-22,64375.000000,67225.000000,61800.000000,63000.000000,51055.105469,5945300
2016-02-29,62850.000000,66400.000000,62600.000000,66200.000000,53648.386719,6050800
2016-03-07,66500.000000,67375.000000,61500.000000,65575.000000,53141.886719,3277000
2016-03-14,65575.000000,66000.000000,59875.000000,61000.000000,49434.316406,6650200
2016-03-21,61000.000000,61800.000000,58750.000000,60625.000000,49130.414063,5800000
2016-03-28,60500.000000,66500.000000,59000.000000,65200.000000,52837.988281,9174900
2016-04-04,65200.000000,68600.000000,65000.000000,66000.000000,53486.304688,7151500
2016-04-11,66000.000000,67500.000000,66000.000000,67500.000000,54701.906250,1296800
2016-04-18,67500.000000,68000.000000,65200.000000,67000.000000,54296.703125,1977204
2016-04-25,66500.000000,72300.000000,66300.000000,69250.000000,56120.101563,6512000
2016-05-02,69300.000000,71600.000000,67325.000000,67900.000000,55026.070313,3351400
2016-05-09,67500.000000,74050.000000,67300.000000,71225.000000,57720.636719,5665900
2016-05-16,70800.000000,74100.000000,70000.000000,72525.000000,58774.160156,2995200
2016-05-23,72050.000000,74400.000000,69575.000000,71325.000000,57801.683594,3667000
2016-05-30,71325.000000,71500.000000,68300.000000,69575.000000,56383.480469,5250600
2016-06-06,69825.000000,70600.000000,67375.000000,67575.000000,54762.687500,4437300
2016-06-13,67700.000000,69225.000000,62150.000000,63350.000000,51338.750000,9494600
2016-06-20,63950.000000,67500.000000,63375.000000,66000.000000,53486.304688,7083900
2016-06-27,66000.000000,69400.000000,65300.000000,68250.000000,55309.707031,10825000
2016-07-04,68250.000000,68250.000000,68250.000000,68250.000000,57484.453125,0
2016-07-11,69500.000000,75000.000000,69150.000000,70400.000000,59295.320313,11297900
2016-07-18,70400.000000,77950.000000,69600.000000,77500.000000,65275.386719,7388800
2016-07-25,77700.000000,77900.000000,67525.000000,67525.000000,56873.812500,15104300
2016-08-01,68000.000000,69650.000000,67500.000000,67800.000000,57105.433594,11172900
2016-08-08,68025.000000,68475.000000,65100.000000,65900.000000,55505.132813,8380800
2016-08-15,65950.000000,68775.000000,64400.000000,68025.000000,57294.945313,8810200
2016-08-22,68000.000000,68100.000000,65100.000000,65800.000000,55420.910156,6746900
2016-08-29,65800.000000,66000.000000,62275.000000,63300.000000,53315.246094,5736600
2016-09-05,63550.000000,64650.000000,61125.000000,61125.000000,51483.328125,4631800
2016-09-12,61125.000000,63000.000000,59225.000000,62500.000000,52641.441406,4015400
2016-09-19,62900.000000,65275.000000,62700.000000,65125.000000,54852.382813,5061700
2016-09-26,65200.000000,65200.000000,62000.000000,62000.000000,52220.304688,5074400
2016-10-03,62500.000000,67725.000000,62500.000000,65900.000000,55505.132813,6799500
2016-10-10,65900.000000,65900.000000,63300.000000,64800.000000,54578.644531,4413900
2016-10-17,64850.000000,66700.000000,64100.000000,65475.000000,55147.171875,6296300
2016-10-24,65475.000000,66500.000000,64875.000000,66000.000000,55589.359375,2529600
2016-10-31,66500.000000,68400.000000,63500.000000,67050.000000,56473.738281,6017300
2016-11-07,66000.000000,68150.000000,64150.000000,64150.000000,54031.171875,5015400
2016-11-14,63800.000000,63825.000000,60725.000000,63100.000000,53146.792969,5968900
2016-11-21,62800.000000,64825.000000,61800.000000,62425.000000,52578.273438,4270900
2016-11-28,62600.000000,66425.000000,62600.000000,66325.000000,55863.097656,5059800
2016-12-05,65500.000000,67750.000000,65050.000000,66950.000000,56389.511719,3782700
2016-12-12,66950.000000,67375.000000,65100.000000,65550.000000,55210.343750,2293600
2016-12-19,65200.000000,65200.000000,60025.000000,60300.000000,50788.460938,3661600
2016-12-26,60300.000000,64400.000000,60300.000000,63900.000000,53820.609375,2406500
2017-01-02,63900.000000,65600.000000,62300.000000,64425.000000,54262.796875,2281700
2017-01-09,64775.000000,64850.000000,63000.000000,63050.000000,53104.687500,2253500
2017-01-16,62800.000000,64075.000000,62500.000000,62500.000000,52641.441406,1693100
2017-01-23,63000.000000,63900.000000,62700.000000,62800.000000,52894.125000,1667700
2017-01-30,62800.000000,63400.000000,61550.000000,61800.000000,52051.855469,2586400
2017-02-06,62000.000000,62850.000000,61800.000000,62000.000000,52220.304688,3407500
2017-02-13,62000.000000,62475.000000,60350.000000,60800.000000,51209.593750,2515800
2017-02-20,60500.000000,65050.000000,60050.000000,65000.000000,54747.097656,6135000
2017-02-27,65250.000000,66000.000000,64075.000000,64475.000000,54304.906250,4613300
2017-03-06,64400.000000,64425.000000,62150.000000,63500.000000,53483.703125,2858600
2017-03-13,63425.000000,65950.000000,62475.000000,65250.000000,54957.660156,3848700
2017-03-20,65650.000000,66000.000000,64850.000000,64925.000000,54683.925781,3259800
2017-03-27,64500.000000,66900.000000,64400.000000,65525.000000,55189.285156,2460600
2017-04-03,65025.000000,68575.000000,65025.000000,68200.000000,57442.335938,3377200
2017-04-10,67850.000000,67950.000000,64500.000000,64675.000000,54473.363281,2524000
2017-04-17,65000.000000,65100.000000,63500.000000,64200.000000,54073.285156,3072900
2017-04-24,64200.000000,67525.000000,63650.000000,66400.000000,55926.265625,3691600
2017-05-01,66400.000000,71475.000000,66325.000000,71400.000000,60137.582031,4055100
2017-05-08,71300.000000,74000.000000,69500.000000,73900.000000,62243.238281,4216300
2017-05-15,73875.000000,77975.000000,69200.000000,76500.000000,64433.121094,4181800
2017-05-22,76000.000000,78475.000000,72025.000000,74275.000000,62559.085938,4134100
2017-05-29,74000.000000,75450.000000,73200.000000,74500.000000,62748.601563,3799600
2017-06-05,74500.000000,75875.000000,73400.000000,75500.000000,63590.863281,3180700
2017-06-12,75000.000000,80325.000000,74900.000000,79000.000000,66538.781250,4797200
2017-06-19,79025.000000,80075.000000,77600.000000,78300.000000,65949.195313,3887200
2017-06-26,78300.000000,78300.000000,78300.000000,78300.000000,65949.195313,0
2017-07-03,78900.000000,81300.000000,75000.000000,76350.000000,64306.789063,4829900
2017-07-10,76300.000000,79300.000000,75575.000000,76150.000000,66257.257813,2563100
